Date,Open,High,Low,Adj Close,Volume
2009-04-01,116.83,120.71,113.45,118.68,7713147.78
2009-04-02,118.93,127.95,118.93,126.15,9753903.7
2009-04-06,127.46,129.47,125.48,126.32,6210578.24
2009-04-08,127.53,133.76,122.28,131.68,11692061.82
2009-04-09,133.39,135.12,129.52,131.33,7555039.36
2009-04-13,131.75,132.74,125.37,129.09,4726838.04
2009-04-15,120.22,126.81,119.89,125.92,11203118.92
2009-04-16,126.42,128.38,123.63,124.69,10172791.82
2009-04-17,125.72,130.67,123.17,124.91,7643703.2
2009-04-20,120.48,126.81,120.48,122.37,6113793.54
2009-04-21,126.33,128.27,118.79,120.04,13177976.78
2009-04-22,122.06,123.06,117.08,118.34,7552974.72
2009-04-23,119.77,124.86,118.84,123.83,8457722.56
2009-04-24,122.05,127.95,122.05,127.26,6168074.66
2009-04-27,127.25,132.7,124.78,131.19,9337951.94
2009-04-28,130.59,132.49,125.62,130.45,9621914.94
2009-04-29,131.21,137.1,131.21,135.92,12079498.9
2009-05-04,137.54,152.48,137.35,145.25,12781060.8
2009-05-05,145.81,147.11,138.64,141.89,10119286.08
2009-05-06,139.12,141.61,134.04,138.48,60243377.66
2009-05-07,138.62,140.59,134.98,137.69,8876555.62
2009-05-08,136.88,139.93,134.81,137.52,10325100.98
2009-05-11,139.17,139.42,132.74,134.1,6077561.78
2009-05-12,132.96,140.76,132.96,139.73,10882203.82
2009-05-13,139.93,140.56,134.04,135.5,8401620.0
2009-05-14,134.7,136.66,131.93,135.1,10831418.78
2009-05-15,136.01,142.73,136.01,140.38,12551126.56
2009-05-18,167.09,172.54,151.49,162.13,84167.62
2009-05-19,163.47,163.47,142.9,145.98,14928997.92
2009-05-20,146.03,153.0,144.51,147.49,9758377.06
2009-05-21,146.03,149.31,140.37,141.12,5114889.92
2009-05-22,137.32,140.59,137.32,138.2,6723149.56
2009-05-25,138.62,140.37,135.71,137.61,6507727.3
2009-05-26,138.4,139.42,135.25,136.11,6949619.84
2009-05-27,137.5,142.11,137.5,141.36,10578723.3
2009-05-28,135.88,146.89,135.88,144.55,19342807.7
2009-05-29,145.76,154.75,142.26,153.58,15910434.84
2009-06-01,146.77,154.71,146.77,152.06,9068037.52
2009-06-02,152.57,154.75,150.39,151.43,4723585.14
2009-06-03,150.39,153.61,148.89,151.89,4490480.52
2009-06-04,149.74,154.54,149.6,154.14,8052818.8
2009-06-05,154.54,158.83,151.78,157.23,15163625.7
2009-06-08,157.96,163.42,156.93,161.75,10630288.28
2009-06-09,159.35,173.28,159.35,170.48,11115340.52
2009-06-10,171.1,175.46,167.23,170.4,10763309.34
2009-06-11,171.76,172.72,167.84,168.94,4454069.86
2009-06-12,171.1,173.23,165.91,166.64,7293447.64
2009-06-15,166.67,171.1,164.56,169.58,7565527.58
2009-06-16,168.17,172.65,162.86,170.73,4950597.02
2009-06-17,171.99,173.3,164.53,166.17,4264035.42
2009-06-18,165.85,172.43,163.24,165.14,5416825.48
2009-06-19,165.41,171.99,164.53,166.63,8806821.9
2009-06-22,168.65,170.15,161.45,162.18,4679593.24
2009-06-23,157.95,165.74,157.07,160.87,5852835.26
2009-06-24,163.63,170.45,158.04,167.49,8323868.1
2009-06-25,167.6,171.99,162.47,166.94,11048411.28
2009-06-26,167.82,177.43,165.21,174.36,6951453.72
2009-06-29,175.43,176.38,168.19,169.44,5407820.06
2009-06-30,170.02,174.62,168.1,171.04,6751159.96
2009-07-01,169.84,173.3,167.8,172.41,4199269.76
2009-07-02,171.11,173.43,167.25,171.11,4234245.28
2009-07-03,168.91,172.17,168.91,171.53,3327567.02
2009-07-06,174.18,174.82,165.99,167.03,5115742.08
2009-07-07,168.48,172.54,166.72,170.73,4335832.64
2009-07-08,170.54,170.62,161.57,167.23,7629613.92
2009-07-09,167.65,171.59,162.77,170.3,4518448.36
2009-07-10,171.55,176.13,171.11,173.36,8511673.72
2009-07-13,171.11,175.94,170.34,174.41,5834758.32
2009-07-14,177.68,180.36,175.67,178.55,5087501.8
2009-07-15,180.28,187.47,179.88,185.65,5094291.8
2009-07-16,187.78,190.77,181.29,184.18,8657693.36
2009-07-17,184.89,195.57,184.71,190.46,10364963.18
2009-07-20,195.25,225.9,195.25,219.61,39362589.42
2009-07-21,220.69,225.14,207.98,209.55,14821934.86
