Date,Open,High,Low,Close,Adj Close,Volume
2018-02-06,4.4,4.97,4.36,4.75,4.75,377400
2018-02-07,4.23,5.07,3.57,4.73,4.73,765600
2018-02-08,4.75,5.0,4.61,4.86,4.86,304300
2018-02-09,4.9,4.9,4.47,4.67,4.67,257200
2018-02-12,4.7,4.78,4.56,4.77,4.77,121200
2018-02-13,4.72,5.01,4.72,5.0,5.0,186700
2018-02-14,4.99,5.14,4.91,5.09,5.09,135100
2018-02-15,5.12,5.19,4.97,5.06,5.06,153000
2018-02-16,5.04,5.17,4.93,4.99,4.99,400000
2018-02-20,5.01,5.08,4.83,4.85,4.85,113300
2018-02-21,4.87,4.92,4.71,4.73,4.73,172000
2018-02-22,4.73,4.85,4.7,4.75,4.75,104200
2018-02-23,4.78,4.86,4.78,4.83,4.83,73600
2018-02-26,4.87,4.87,4.76,4.78,4.78,59500
2018-02-27,4.89,5.02,4.82,5.01,5.01,178600
2018-02-28,4.99,5.12,4.95,5.05,5.05,422700
2018-03-01,5.03,5.1,4.75,4.84,4.84,201000
2018-03-02,4.8,4.89,4.68,4.87,4.87,109300
2018-03-05,4.87,4.9,4.69,4.72,4.72,109400
2018-03-06,4.72,4.95,4.69,4.91,4.91,105200
2018-03-07,4.85,4.96,4.72,4.92,4.92,133600
2018-03-08,4.93,4.98,4.69,4.72,4.72,90700
2018-03-09,5.1,5.77,5.05,5.31,5.31,1018900
2018-03-12,5.49,5.65,5.32,5.56,5.56,278700
2018-03-13,5.6,5.86,5.38,5.43,5.43,302400
2018-03-14,5.47,5.5,5.35,5.39,5.39,94600
2018-03-15,5.4,5.54,5.37,5.53,5.53,120400
2018-03-16,5.53,5.79,5.48,5.65,5.65,290700
2018-03-19,5.65,5.67,5.44,5.65,5.65,207800
2018-03-20,5.64,5.7,5.37,5.4,5.4,149500
2018-03-21,5.4,5.64,5.37,5.5,5.5,151700
2018-03-22,5.45,5.48,5.23,5.36,5.36,219200
2018-03-23,5.39,5.44,5.26,5.31,5.31,155300
2018-03-26,5.41,5.65,5.31,5.61,5.61,180200
2018-03-27,5.64,5.65,5.5,5.57,5.57,117100
2018-03-28,5.59,5.64,5.34,5.38,5.38,157800
2018-03-29,5.46,5.7,5.33,5.44,5.44,966000
2018-04-02,5.5,5.61,5.33,5.52,5.52,161700
2018-04-03,5.65,5.75,5.56,5.67,5.67,211800
2018-04-04,5.58,5.78,5.56,5.75,5.75,137400
2018-04-05,5.79,5.88,5.77,5.83,5.83,82000
2018-04-06,5.78,5.88,5.71,5.78,5.78,94100
2018-04-09,5.84,5.84,5.57,5.59,5.59,135900
2018-04-10,5.67,5.85,5.61,5.76,5.76,113300
2018-04-11,5.72,5.83,5.71,5.75,5.75,53800
2018-04-12,5.75,5.85,5.68,5.7,5.7,83600
2018-04-13,5.74,5.79,5.6,5.64,5.64,51700
2018-04-16,5.65,5.85,5.59,5.77,5.77,95300
2018-04-17,5.88,5.94,5.8,5.81,5.81,96200
2018-04-18,5.84,5.94,5.78,5.81,5.81,127900
2018-04-19,5.83,5.96,5.76,5.85,5.85,114400
2018-04-20,5.82,5.89,5.7,5.72,5.72,120500
